,City,Country,Date,Latitude,Longitude,Cloudiness (%),Humidity (%),Max Temp (F),Wind Speed (mph),Maximum Temperature (F)
0,abu zabad,SD,1629358217,14.2,24.6667,96,50,,3.61,81.734
1,sao joao da barra,AU,1629358217,-14.25,129.55,0,58,,4.77,81.46400000000003
2,north bend,IN,1629358217,25.5198,90.2201,100,95,,3.35,75.52400000000002
3,albany,KZ,1629358477,54.9056,70.4439,100,36,,2.17,79.08800000000005
4,hermanus,NZ,1629358218,-46.1927,168.8643,100,96,,3.23,44.74399999999997
5,tiksi,CA,1629358210,53.4001,-117.5857,100,81,,1.57,63.37400000000001
6,taolanaro,GL,1629358478,65.6145,-37.6368,100,89,,1.2,41.432000000000016
7,butaritari,RU,1629358478,55.1153,83.9059,32,60,,5.02,70.06999999999996
8,castro,CK,1629358220,-21.2078,-159.775,5,83,,6.69,71.924
9,ushuaia,AR,1629358089,-54.8,-68.3,40,74,,7.72,30.127999999999965
10,vaini,CL,1629358210,-53.15,-70.9167,75,55,,5.66,32.377999999999965
11,azimur,AR,1629358200,-38.0023,-57.5575,75,100,,2.57,48.48800000000004
12,tasiilaq,US,1629358163,19.7297,-155.09,40,87,,0,76.06400000000004
13,arraial do cabo,BR,1629358222,-10.4056,-36.4344,64,87,,5.35,72.62599999999999
14,bedele,CA,1629358222,70.4692,-68.5914,100,96,,2.4,38.87599999999999
15,la ronge,ZA,1629358223,-34.5322,20.0403,99,87,,2.06,51.38599999999997
16,sabang,CN,1629358223,30.0145,118.4037,50,65,,0.57,86.342
17,bethel,NO,1629358224,63.1115,7.732,75,87,,5.66,53.924000000000014
18,togur,,,,,,,,,
19,nabire,CA,1629358224,47.1666,-55.1483,96,95,,4.74,63.01400000000004
20,trenggalek,MX,1629358225,27.2333,-100.15,78,66,,8.71,82.83200000000002
21,lebu,RU,1629358225,63.9333,31.65,83,64,,6.99,63.53599999999997
22,busselton,AU,1629358226,-20.1,146.2667,0,29,,3.1,69.63800000000005
23,bluff,US,1629358226,34.7392,-112.0099,0,92,,0.45,74.03000000000004
24,ponta do sol,IN,1629358227,11.6667,92.75,44,70,,5.21,85.06400000000004
25,husavik,,,,,,,,,
26,cape town,AU,1629358228,-24.8667,113.6333,1,66,,4.12,71.94200000000001
27,corinth,US,1629358228,48.4111,-114.3376,1,89,,0,50.01799999999999
28,rikitea,AU,1629358229,-42.7826,147.0587,94,64,,1.24,55.16600000000001
29,matveyevka,,,,,,,,,
30,mar del plata,CL,1629358230,-41.8697,-73.8203,100,83,,5.48,42.69199999999999
31,airai,NZ,1629358231,-46.6,168.3333,100,89,,3.93,45.067999999999984
32,lavrentiya,RU,1629358231,71.6872,128.8694,90,82,,1.35,52.772000000000034
33,jamestown,TL,1629358232,-8.9266,125.4092,72,57,,1.61,69.38599999999997
34,pevek,TO,1629358232,-21.2,-175.2,75,88,,4.47,73.83200000000002
35,belushya guba,GF,1629358233,5.3833,-52.95,14,89,,3.04,76.51400000000004
36,anloga,,,,,,,,,
37,nanortalik,CD,1629358221,-6.15,23.6,3,47,,3.39,85.83800000000005
38,san patricio,,,,,,,,,
39,upernavik,ES,1629358234,43.2686,-7.5406,42,91,,2.65,60.188000000000045
40,chulym,PF,1629358235,-9.8,-139.0333,13,74,,8.28,78.24199999999999
41,itarema,,,,,,,,,
42,torbay,US,1629358155,36.707,-97.0856,20,90,,4.12,77.09000000000003
43,kapaa,MU,1629358236,-20.4081,57.7,40,64,,7.72,75.75800000000001
44,sur,US,1629358236,57.79,-152.4072,99,89,,1.53,54.51799999999999
45,chimbote,PK,1629358236,25.2088,64.6357,25,75,,8.25,80.74399999999997
46,saint george,US,1629358237,22.0752,-159.319,20,76,,4.63,81.19399999999997
47,tomatlan,RU,1629358237,73.5069,80.5464,100,88,,4.44,40.81999999999996
48,plessisville,US,1629358238,42.6001,-73.9662,100,94,,5.02,73.81400000000004
49,saint-philippe,CA,1629358211,50.1123,-120.7942,84,63,,0.99,59.935999999999964
50,port alfred,,,,,,,,,
51,quelimane,,,,,,,,,
52,deep river,US,1629358239,64.5011,-165.4064,90,81,,4.63,46.742
53,thompson,,,,,,,,,
54,aasiaat,MG,1629358240,-13.2,49.05,27,37,,5.33,91.00399999999996
55,maniitsoq,CA,1629358240,69.4541,-133.0374,100,80,,5.75,41.70199999999998
56,hobart,PF,1629358241,-16.4833,-151.75,27,68,,10.1,78.51199999999996
57,kloulklubed,AU,1629358241,-33.65,115.3333,100,81,,3.37,60.35
58,sorland,,,,,,,,,
59,sanson,PH,1629358242,15.0286,120.6898,100,68,,2.86,90.40999999999998
60,adre,CA,1629358243,62.456,-114.3525,90,94,,2.06,57.992
61,kalat,CA,1629358243,54.5163,-128.6035,90,94,,4.63,59.18000000000004
62,severo-kurilsk,ZA,1629358243,-34.4187,19.2345,53,72,,4.13,57.16400000000003
63,maarianhamina,US,1629358244,28.017,-97.5169,20,78,,5.52,86.16199999999995
64,agucadoura,GL,1629358244,77.484,-69.3632,96,90,,0.01,39.55999999999998
65,nikolskoye,MR,1629358245,20.931,-17.0347,79,94,,4.12,71.85199999999998
66,guerrero negro,AU,1629358245,-38.2667,141.9667,12,81,,4.27,54.68000000000004
67,cabo san lucas,NZ,1629358246,-45.75,170.5667,100,55,,2.04,54.067999999999984
68,tazovskiy,CL,1629358052,-29.9533,-71.3436,0,82,,1.54,57.2
69,tazmalt,NU,1629358246,-19.0595,-169.9187,3,88,,2.06,71.76199999999996
70,verkhnyaya inta,US,1629358247,42.097,-79.2353,90,99,,1.34,71.45600000000003
71,chuchkovo,KR,1629358247,35.2442,129.2139,100,88,,0.9,86.0
72,mataura,ES,1629358248,36.7496,-3.0206,31,85,,1.52,85.08200000000002
73,new norfolk,GL,1629358248,61.994,-49.6678,100,99,,5.75,43.592
74,hualmay,NO,1629358249,71.0357,27.8492,100,97,,12,48.650000000000006
75,dzhusaly,NZ,1629358249,-46.1333,167.6833,100,91,,5.06,45.08599999999997
76,tuktoyaktuk,NZ,1629358249,-45.4167,167.7167,100,94,,2.47,43.016000000000005
77,hasaki,US,1629358250,40.973,-117.7357,90,36,,2.06,62.924000000000014
78,leningradskiy,BR,1629358250,-5.3686,-49.1178,0,94,,0,68.45
79,luderitz,PF,1629358051,-23.1203,-134.9692,98,68,,9.68,69.674
80,tiarei,AU,1629358251,-20.0167,148.2333,2,69,,7.51,72.08599999999997
81,narsaq,GB,1629358240,51.7522,-1.256,75,79,,0.45,60.89000000000002
82,hilo,CL,1629358252,-25.4,-70.4833,22,68,,0.78,58.98200000000001
83,bambous virieux,MV,1629358253,-0.6,73.0833,38,72,,3.41,82.58000000000004
84,atuona,,,,,,,,,
85,trincomalee,US,1629357975,45.5234,-122.6762,20,74,,0.45,65.89399999999998
86,geraldton,,,,,,,,,
87,qaanaaq,NG,1629358254,11.7594,9.3392,72,75,,3.28,78.35
88,puerto ayora,PK,1629358254,25.05,61.7417,37,72,,4.82,81.59000000000003
89,kavieng,AR,1629358232,-31.4135,-64.1811,0,62,,2.06,64.02200000000005
90,pekan,,,,,,,,,
91,pisco,RU,1629358255,59.7035,30.7861,100,59,,6.23,63.28399999999999
92,hofn,RO,1629358255,44.15,23.1833,0,32,,3.09,75.50600000000003
93,gibara,MV,1629358256,2.6708,72.8944,100,73,,3.98,82.52599999999998
94,saint-augustin,,,,,,,,,
95,katsuura,ZA,1629358257,-29.0642,30.5928,33,51,,1.44,62.76199999999996
96,buchanan,TZ,1629358033,-7.9139,39.6668,6,72,,3.66,77.09000000000003
97,tonder,CA,1629358209,47.6666,-52.7314,75,85,,8.75,67.83800000000005
98,kaitangata,US,1629358211,20.8947,-156.47,40,84,,5.14,77.28800000000004
99,tabiauea,,,,,,,,,
100,kruisfontein,CA,1629357993,55.7435,-97.8558,75,93,,1.03,41.432000000000016
101,chapais,FR,1629358258,49.5833,0.3333,90,82,,5.14,60.61999999999996
102,juneau,AO,1629358259,-14.6585,17.691,0,16,,0.84,79.98800000000006
103,klamath falls,EC,1629358259,-0.95,-80.7333,90,83,,3.6,73.45399999999995
104,barrow,,,,,,,,,
105,moose jaw,ZA,1629358364,-33.9258,18.4232,20,70,,1.34,59.377999999999965
106,noshiro,IN,1629358261,28.0667,95.3333,100,100,,0.87,77.54000000000002
107,dikson,BY,1629358261,52.6333,29.7333,3,45,,4.3,69.16999999999996
108,hamilton,EC,1629358262,-0.7393,-90.3518,72,85,,4.92,71.816
109,tromso,ZA,1629358262,-33.5906,26.891,84,88,,7.27,56.696000000000055
110,alofi,GW,1629358262,11.2833,-15.8333,100,89,,10.13,77.558
111,waipawa,SA,1629358263,25.0213,37.2685,0,49,,5.61,91.41799999999998
112,arak,RU,1629358263,53.2514,140.1822,18,50,,1.45,84.23599999999996
113,saint-lo,AU,1629358529,-28.65,153.6167,70,69,,2.78,66.41600000000001
114,ketchikan,CV,1629358264,15.2833,-23.7667,88,87,,4.12,78.06199999999995
115,ozgon,ZA,1629358265,-34.0527,23.3716,100,83,,1.91,53.25800000000001
116,srbac,,,,,,,,,
117,maragogi,KI,1629358265,3.0707,172.7902,18,74,,5.03,83.53399999999999
118,deputatskiy,TC,1629358266,21.4612,-71.1419,100,76,,6.92,82.45399999999995
119,banyo,CL,1629358266,-35.3333,-72.4167,28,93,,3.53,51.25999999999998
120,tezu,,,,,,,,,
121,amambai,RU,1629358267,64.3833,-173.3,100,95,,4.63,41.41400000000003
122,east london,JP,1629358267,26.1842,127.7558,75,79,,4.63,83.75
123,sukhoverkovo,RU,1629358268,70.6333,147.9167,100,46,,0.59,65.15600000000003
124,chokurdakh,KZ,1629358269,47.9714,80.4392,89,26,,5.7,81.30199999999998
125,wairoa,SO,1629358269,8.4054,48.4845,70,28,,13.67,90.75199999999998
126,sompeta,JP,1629358269,28.3667,129.4833,100,84,,4.75,76.38800000000005
127,syracuse,US,1629358270,42.1584,-72.3287,90,87,,1.54,74.35399999999996
128,pitimbu,PT,1629358270,32.6667,-17.1,0,72,,0.77,75.27200000000005
129,honningsvag,NP,1629358271,29.2747,82.1838,99,78,,2.26,71.65399999999995
130,tsihombe,JP,1629358271,35.1333,140.3,61,83,,7.95,86.37799999999996
131,saldanha,RU,1629358272,47.4196,47.2568,2,14,,7.92,98.97799999999997
132,samusu,NO,1629358272,70.8578,29.0864,90,93,,10.29,50.07200000000004
133,zhanaozen,US,1629358273,41.3712,-73.414,90,93,,0.45,77.84600000000006
134,hithadhoo,MU,1629358273,-20.5167,57.5167,40,64,,7.72,75.84800000000003
135,ballina,TR,1629358028,38.4017,33.4131,0,35,,5.98,80.02400000000002
136,cayenne,,,,,,,,,
137,beyla,AW,1629358274,12.524,-70.027,20,89,,6.69,80.816
138,hirara,CA,1629358209,50.6996,-127.4199,75,100,,1.54,55.85
139,guadalupe victoria,US,1629358275,40.7391,-114.0733,1,63,,0,58.477999999999966
140,sept-iles,GY,1629358275,6.25,-57.5167,100,97,,0.8,74.40800000000002
141,kalmunai,MY,1629358142,5.4112,100.3354,40,74,,1.54,84.41600000000001
142,halalo,AU,1629358107,-42.8794,147.3294,75,74,,3.09,55.52599999999999
143,saleaula,,,,,,,,,
144,bengkulu,PG,1629358276,-2.0226,147.2712,100,73,,3.1,83.13800000000005
145,luanda,HK,1629358056,22.2855,114.1577,43,80,,0.45,88.12400000000002
146,buraydah,RU,1629358277,50.6789,156.125,65,88,,3.17,57.01999999999996
147,chancay,,,,,,,,,
148,yellowknife,ID,1629358277,-9.1061,124.8925,28,57,,0.69,80.94200000000001
149,lugovoy,BR,1629358278,-30.1811,-50.2056,0,82,,2.83,65.26400000000004
150,oyama,RU,1629358278,55.9342,98.0044,69,42,,2.11,74.03000000000004
151,svetlyy,GL,1629357988,64.1835,-51.7216,75,81,,9.77,49.08200000000002
152,kimbe,IS,1629358279,66.0449,-17.3389,100,83,,1.78,50.18000000000004
153,sovetskiy,MN,1629358279,48.0056,91.6419,98,38,,4.06,69.53000000000004
154,felidhoo,RU,1629358280,68.0546,166.4372,8,49,,1.65,55.47200000000004
155,port macquarie,JP,1629358280,33.2833,134.15,100,86,,1.46,73.70600000000003
156,cidreira,BR,1629358281,-9.0122,-35.2225,55,87,,4.89,73.49000000000002
157,beaverlodge,VU,1629358281,-13.8833,167.55,47,78,,7.55,80.50999999999999
158,batagay-alyta,BR,1629358282,-1.7656,-55.8661,42,77,,1.46,74.93000000000004
159,namatanai,CA,1629358283,45.6169,-61.3485,90,98,,2.57,68.86400000000003
160,kamze,AU,1629358283,-35.5667,138.6167,89,55,,5.38,68.35999999999999
161,georgetown,,,,,,,,,
162,beringovskiy,BR,1629358284,-24.7911,-50.0119,0,70,,1.97,59.19800000000002
163,frederiksvaerk,NO,1629358284,70.9963,24.6622,100,95,,13.98,51.15199999999997
164,ahipara,RU,1629358285,56.7938,105.7672,30,44,,3.27,68.73800000000006
165,punta arenas,CL,1629358285,-37.6167,-73.65,100,86,,4.98,50.108000000000004
166,batemans bay,MX,1629358285,18.0667,-94.4,67,81,,2.02,78.98000000000005
167,aginskoye,VU,1629358286,-19.55,169.2667,51,81,,5.32,72.392
168,tuatapere,GL,1629358287,72.7868,-56.1549,99,84,,4.58,40.1
169,araouane,PF,1629358287,-17.7333,-149.15,97,72,,12.17,75.48800000000006
170,bandar-e anzali,AU,1629358288,-20.7377,116.8463,0,28,,4.56,83.42599999999999
171,mullaitivu,MG,1629358289,-18.3167,47.1167,4,40,,3.51,70.484
172,kerki,KZ,1629358289,51.9556,66.4042,92,31,,2.2,85.892
173,porto novo,US,1629358290,36.6177,-121.9166,2,91,,1.34,61.7
174,bredasdorp,RU,1629358290,71.9167,114.0833,85,65,,1.29,58.08200000000002
175,mys shmidta,CN,1629358291,29.0361,114.5636,40,81,,0.66,86.234
176,horsham,,,,,,,,,
177,port elizabeth,PG,1629358291,-2.5744,150.7967,100,68,,2.18,83.76799999999999
178,kahului,BR,1629358292,-20.3297,-40.2925,75,100,,1.03,66.41600000000001
179,lakes entrance,CN,1629358292,23.4632,116.768,20,58,,4,91.58000000000004
180,karauzyak,ZA,1629358293,-33.0117,17.9442,24,75,,5.5,53.924000000000014
181,saskylakh,MX,1629358293,25.5333,-103.25,100,77,,1.25,70.37599999999999
182,cherskiy,UA,1629358294,48.282,37.1758,34,33,,3.08,85.83800000000005
183,carnarvon,TR,1629358295,40.0333,27.0524,70,57,,7.5,81.55399999999995
184,khatanga,,,,,,,,,
185,lar,RE,1629358295,-21.3585,55.7679,47,77,,6.48,76.81999999999996
186,winfield,,,,,,,,,
187,rawson,RS,1629358296,44.3656,19.3619,0,37,,1.73,68.30600000000004
188,avarua,GL,1629358297,65.4167,-52.9,100,93,,5.59,45.14000000000002
189,esperance,,,,,,,,,
190,svetlaya,RU,1629358298,67.8006,130.4114,100,48,,3.34,63.842
191,provideniya,MW,1629358298,-16.92,35.262,0,25,,2.07,89.924
192,faanui,US,1629358299,71.2906,-156.7887,90,93,,5.66,35.88800000000005
193,abatskoye,ZA,1629358299,-34.0033,24.7314,100,82,,5.01,52.15999999999998
194,palu,BR,1629358300,-22.9661,-42.0278,0,86,,12.74,70.30399999999995
195,west wendover,,,,,,,,,
196,vilyuysk,,,,,,,,,
197,evensk,AU,1629358181,-21.15,149.2,90,68,,6.69,71.85199999999998
198,alibag,AU,1629358295,-37.8333,140.7667,98,55,,4.63,62.780000000000044
199,amderma,CA,1629358301,51.226,-58.6502,53,71,,3.56,67.08200000000002
200,kamenskoye,SA,1629358302,18.3851,42.4509,22,37,,4.15,80.97799999999997
201,norman wells,BR,1629358302,-20.4167,-54.0667,0,37,,2.25,80.07799999999997
202,mgandu,RU,1629358302,65.9939,57.5281,100,71,,5.55,56.3
203,oranjemund,ZM,1629358303,-16.1167,23.2667,0,16,,3.03,82.52599999999998
204,severo-yeniseyskiy,IT,1629358303,37.8333,12.6667,75,78,,2.57,82.976
205,umzimvubu,US,1629358304,40.5992,-77.5714,90,85,,5.14,75.434
206,makakilo city,MX,1629358304,20.8667,-90.4,100,75,,5.51,81.08599999999997
207,nanae,US,1629358250,34.6391,-120.4579,90,79,,0,67.94600000000005
208,tolaga bay,MR,1629358305,18.0858,-15.9785,100,84,,4.15,80.79800000000003
209,oceanside,CA,1629358306,47.4334,-72.7824,72,87,,0.83,65.28200000000001
210,formosa,ID,1629358306,-3.8004,102.2655,92,81,,5.77,79.484
211,addis abeba,ZA,1629358307,-33.0153,27.9116,0,67,,10.29,60.20600000000003
212,maningrida,CA,1629358307,55.4334,-116.4858,79,94,,2.22,53.167999999999985
213,port-gentil,US,1629358308,40.8021,-124.1637,1,73,,0.89,56.94800000000002
214,honiara,US,1629358308,45.1,-87.6307,1,94,,0,66.95600000000003
215,zabinka,NA,1629358308,-19.5667,18.1167,0,17,,1.54,64.23800000000006
216,myitkyina,BR,1629358309,-7.4706,-34.8086,35,87,,5.47,70.66400000000004
217,los llanos de aridane,US,1629358309,37.4636,-122.4286,90,85,,0,64.58000000000004
218,lasa,AU,1629358310,-32.7167,152.15,86,79,,5.12,65.03000000000004
219,san cristobal,IS,1629358310,64.2539,-15.2082,100,92,,2.87,52.934
220,marcona,,,,,,,,,
221,pasighat,PT,1629358311,37.3191,-8.8033,1,75,,4.43,66.91999999999996
222,tanshui,RU,1629358311,69.1933,33.2531,20,68,,4.43,64.45399999999995
223,birjand,CA,1629358312,55.1001,-105.2842,1,82,,2.57,55.88599999999997
224,aksu,PT,1629358312,38.5167,-28.7,40,94,,4.63,74.066
225,istok,PK,1629358313,34.3333,73.2,2,50,,1.89,86.18000000000004
226,ayan,SJ,1629358313,78.2186,15.6401,75,81,,4.63,41.108000000000004
227,erzin,US,1629358022,37.1041,-113.5841,90,72,,4.63,68.73800000000006
228,isiro,CA,1629358314,58.5169,-117.136,90,82,,1.54,57.57799999999996
229,kachikau,RU,1629358314,66.5606,67.7975,27,44,,3.12,57.90199999999997
230,byron bay,RU,1629358315,56.3491,78.3619,99,41,,4.63,68.43200000000002
231,manavalakurichi,,,,,,,,,
232,dawei,RE,1629358316,-21.15,55.2833,2,61,,1.44,76.29800000000003
233,kapit,ID,1629358316,-8.19,114.9675,100,65,,1.67,84.326
234,havre-saint-pierre,KR,1629358528,37.5683,126.9778,40,43,,2.57,87.674
235,goderich,IN,1629358317,9.49,76.3264,100,77,,3.4,80.58200000000002
236,nguiu,,,,,,,,,
237,corrientes,US,1629358318,45.7453,-87.0646,1,95,,0,66.90199999999999
238,solnechnyy,RU,1629358319,63.05,179.3167,100,87,,2.89,43.73599999999997
239,kourou,PE,1629358319,-15.4311,-74.6158,53,78,,1.67,61.08800000000005
240,murgab,AU,1629358320,-34.7333,135.8667,44,48,,8.11,64.13000000000005
241,sao felix do xingu,LT,1629358320,54.85,25.4833,90,73,,6.19,61.609999999999985
242,chuy,ID,1629358321,-8.4667,140.3333,61,79,,8.05,79.91600000000001
243,ende,CN,1629358321,33.8963,117.9331,100,71,,2.84,84.308
244,port lincoln,FO,1629358322,62.2266,-6.589,100,76,,6.58,47.588000000000044
245,roebourne,US,1629358169,34.0232,-84.3616,90,93,,0.45,78.18800000000005
246,clyde river,RU,1629358322,65.8522,44.24,100,90,,4.25,67.71199999999996
247,obo,PE,1629358323,-13.7,-76.2167,90,88,,3.6,61.12400000000001
248,szarvas,EC,1629358323,0.6,-80.0333,100,88,,5.7,74.26400000000004
249,illoqqortoormiut,,,,,,,,,
250,ponyri,KE,1629358324,-2.2717,40.902,93,69,,7.01,82.88599999999997
251,iralaya,AR,1629358228,-40.8135,-62.9967,100,63,,2.83,52.80800000000001
252,pacific grove,PK,1629358325,27.6922,68.8951,0,52,,3.09,96.94399999999997
253,gazojak,RU,1629358325,62.2167,135.8,98,68,,1.98,66.01999999999995
254,san luis,AU,1629358326,-34.5833,150.8552,96,73,,2.82,64.47200000000004
255,fairbanks,,,,,,,,,
256,victoria,VN,1629358268,16.0678,108.2208,20,52,,4.63,95.32400000000001
257,anchorage,RU,1629358327,67.4667,86.5833,90,64,,4.47,48.36199999999995
258,kununurra,RU,1629358327,61.8099,36.5345,88,53,,5.11,67.81999999999996
259,teya,CA,1629358328,50.2334,-63.5986,1,94,,3.09,61.069999999999965
260,sinnamary,NO,1629358328,63.7256,8.834,100,77,,10.38,55.16600000000001
261,namtsy,,,,,,,,,
262,filadelfia,JP,1629358329,35.7333,140.8333,4,81,,9.85,90.26600000000002
263,tezpur,RU,1629358329,68.0531,39.5131,100,71,,7.15,63.932000000000016
264,vallenar,UY,1629358329,-33.6971,-53.4616,100,92,,2.8,62.40199999999997
265,puerto leguizamo,,,,,,,,,
266,koboldo,,,,,,,,,
267,ribeira grande,CL,1629358330,-45.5752,-72.0662,20,87,,2.57,37.61600000000001
268,adrar,AU,1629358285,-28.7667,114.6,40,52,,5.66,68.684
269,garowe,RU,1629358331,47.6967,131.0981,30,23,,4.83,93.46999999999997
270,ancud,CA,1629358332,63.7506,-68.5145,90,100,,0,42.8
271,belmonte,LY,1629358332,29.1081,21.2869,0,30,,5.56,91.36400000000003
272,sentyabrskiy,RU,1629358333,45.4375,40.5756,8,55,,3.26,84.14600000000004
273,deniliquin,CA,1629358333,65.282,-126.8329,90,93,,1.54,52.10600000000003
274,muros,RU,1629358334,69.4865,88.3972,98,50,,5.27,52.46600000000001
275,atikokan,MY,1629358334,4.6374,103.4368,40,70,,3.6,87.99800000000002
276,karratha,RU,1629358334,56.1667,91.8167,100,49,,3.31,72.28399999999999
277,varnavino,BG,1629358335,43.4125,23.225,0,27,,4.09,77.77400000000002
278,karatsu,RU,1629358335,66.3167,-179.1667,100,82,,0.7,40.17200000000004
279,caxias,US,1629358336,21.3469,-158.0858,1,71,,1.54,77.59399999999997
280,barbar,AR,1629358337,-38.9516,-68.0591,2,61,,2.51,47.39000000000002
281,kodiak,VN,1629358337,20.8133,105.3383,59,63,,1.38,93.36199999999997
282,artvin,,,,,,,,,
283,baykit,SA,1629358158,24.6877,46.7219,0,17,,3.86,97.21400000000004
284,bixby,CA,1629358209,58.8053,-122.7002,40,87,,0,49.85600000000003
285,alice springs,NZ,1629358153,-43.5333,172.6333,83,64,,1.54,48.667999999999985
286,todos santos,IS,1629358339,64.8945,-23.7142,100,91,,3.32,54.266000000000005
287,grand river south east,PT,1629358339,37.7167,-25.4333,95,87,,2.7,72.28399999999999
288,shubarshi,ZA,1629358340,-33.918,25.5701,20,77,,3.6,57.75800000000001
289,san javier,ZA,1629358340,-24.2,29.5,0,22,,2.39,69.16999999999996
290,aklavik,RU,1629358340,53.6703,102.3106,51,39,,4.19,72.69800000000004
291,rio claro,US,1629358140,41.7189,-83.713,40,92,,0,71.15
292,sambava,MR,1629358341,20.5022,-10.0711,29,40,,5.94,88.71799999999999
293,palmeira,MZ,1629358341,-25.9653,32.5892,0,56,,3.6,69.74600000000005
294,cururupu,US,1629358342,57.0531,-135.33,90,94,,0,55.561999999999955
295,te anau,UY,1629358343,-34.4833,-54.3333,100,94,,2.59,63.40999999999998
296,talcahuano,SA,1629358343,26.4852,50.0405,0,27,,2.6,100.88599999999997
297,independence,BR,1629358344,-24.1831,-46.7889,23,88,,1.22,75.63200000000002
298,pacifica,AU,1629358344,-25.2406,130.9889,0,9,,2.06,80.708
299,moctezuma,PF,1629358344,-16.7,-151.0167,80,69,,10.77,78.02599999999998
300,meulaboh,RU,1629358345,71.9667,102.5,100,63,,3.55,50.26999999999996
301,road town,IS,1629358345,63.8424,-22.4338,90,100,,5.66,53.81600000000001
302,plettenberg bay,GB,1629358346,51.3813,1.3862,29,79,,0.89,60.96199999999996
