,City,Country,Date,Latitude,Longitude,Cloudiness (%),Humidity (%),Maximum Temperature (F),Wind Speed (mph)
418,alamosa,US,1629351279.0,37.4695,-105.87,1.0,59.0,64.184,4.12
419,hargeysa,SO,1629351279.0,9.56,44.065,11.0,40.0,79.12400000000002,13.57
420,garm,,,,,,,,
421,snasa,NO,1629351280.0,64.2457,12.3778,100.0,98.0,51.47599999999999,4.56
422,mercedes,AR,1629351280.0,-34.6515,-59.4307,100.0,98.0,57.30800000000001,4.03
423,buchanan,LR,1629351281.0,5.8808,-10.0467,40.0,77.0,75.308,2.19
424,piacabucu,BR,1629351281.0,-10.4056,-36.4344,52.0,85.0,73.04000000000002,5.1
425,samalaeulu,,,,,,,,
426,orito,CO,1629351282.0,0.6766,-76.8771,94.0,82.0,71.49199999999998,1.37
427,asau,RO,1629351282.0,46.4333,26.4,50.0,75.0,64.21999999999997,1.05
428,buala,SB,1629351024.0,-8.145,159.5921,30.0,74.0,83.49800000000002,2.63
429,lipin bor,RU,1629351283.0,60.2622,37.9763,75.0,72.0,62.47400000000002,4.29
430,ilam,NP,1629351284.0,26.9167,87.9167,100.0,89.0,72.06799999999998,0.92
431,meulaboh,ID,1629350899.0,4.1363,96.1285,93.0,67.0,82.56199999999995,1.36
432,toktogul,KG,1629351284.0,41.8708,72.9402,8.0,27.0,78.368,1.54
433,artyk,,,,,,,,
434,nabire,ID,1629351036.0,-3.3667,135.4833,58.0,69.0,84.00199999999998,2.62
435,yumen,CN,1629350875.0,40.2833,97.2,0.0,17.0,79.05199999999998,3.12
436,nemuro,JP,1629351095.0,43.3236,145.575,83.0,85.0,72.30199999999998,5.76
437,port lincoln,AU,1629350893.0,-34.7333,135.8667,83.0,46.0,66.65,7.01
438,barra,BR,1629351286.0,-11.0894,-43.1417,7.0,66.0,69.80000000000001,4.63
439,belaya gora,RU,1629351287.0,68.5333,146.4167,98.0,33.0,68.71999999999997,1.91
440,takhtamygda,RU,1629351287.0,54.1,123.5667,100.0,89.0,68.63000000000005,3.37
441,astara,AZ,1629351288.0,38.5,48.6667,20.0,23.0,73.65199999999999,3.06
442,kyra,RU,1629351288.0,49.5776,111.9753,100.0,69.0,61.142,5.19
443,chagda,,,,,,,,
444,dali,CN,1629351289.0,25.7,100.1833,100.0,95.0,64.00399999999996,1.6
445,nioro,GM,1629351289.0,13.35,-15.75,100.0,94.0,74.67799999999997,1.57
446,northam,GB,1629351290.0,51.0333,-4.2167,77.0,94.0,60.69199999999999,3.88
447,sawakin,SD,1629351009.0,19.1059,37.3321,32.0,48.0,94.69399999999996,0.91
448,cornwall,CA,1629351000.0,45.0181,-74.7281,75.0,94.0,73.976,0.0
449,wewak,PG,1629351291.0,-3.5534,143.6268,55.0,71.0,84.18200000000002,3.61
450,yulara,AU,1629351108.0,-25.2406,130.9889,0.0,9.0,78.90800000000002,4.12
451,kologriv,RU,1629351292.0,58.8275,44.3178,58.0,60.0,75.41600000000003,3.14
452,tagusao,PH,1629351292.0,9.1924,117.8141,48.0,69.0,85.78399999999998,2.82
453,bollnas,SE,1629351293.0,61.3482,16.3946,100.0,97.0,54.392,4.39
454,san isidro,PE,1629351293.0,-12.1167,-77.05,90.0,91.0,61.28599999999997,0.45
455,atouguia da baleia,PT,1629351294.0,39.3381,-9.3263,14.0,91.0,62.096000000000046,6.41
456,iskar,BG,1629351294.0,43.45,24.2667,1.0,63.0,64.868,3.09
457,sorvag,,,,,,,,
458,havelock,US,1629351295.0,34.8791,-76.9013,1.0,91.0,83.20999999999998,2.57
459,am timan,TD,1629351295.0,11.0297,20.2827,100.0,97.0,69.08000000000004,2.84
460,mapiripan,CO,1629351050.0,2.8892,-72.1256,100.0,98.0,71.54600000000005,1.63
461,bonavista,CA,1629351296.0,48.6499,-53.1147,90.0,85.0,68.26999999999995,6.31
462,sosnovo-ozerskoye,RU,1629351296.0,52.5249,111.5418,99.0,71.0,59.82799999999996,3.41
463,hualmay,PE,1629351103.0,-11.0964,-77.6139,36.0,86.0,61.41199999999996,4.71
464,darhan,MN,1629351297.0,49.4867,105.9228,52.0,44.0,69.74600000000005,4.91
465,robertsport,LR,1629351297.0,6.7533,-11.3686,50.0,75.0,77.84600000000006,3.65
466,iisaku,EE,1629351298.0,59.1014,27.3081,100.0,91.0,56.893999999999984,9.27
467,nalut,LY,1629351298.0,30.3333,10.85,0.0,22.0,83.89399999999998,4.5
468,tazovskiy,RU,1629351052.0,67.4667,78.7,96.0,74.0,46.814000000000036,8.55
469,hirara,JP,1629351299.0,24.8,125.2833,75.0,70.0,88.34000000000003,1.54
470,toora-khem,RU,1629351300.0,52.4675,96.11,15.0,33.0,71.94200000000002,2.49
471,mount gambier,AU,1629351042.0,-37.8333,140.7667,40.0,48.0,64.58000000000004,6.69
472,vasterhaninge,SE,1629351300.0,59.1167,18.1,76.0,10.0,56.10199999999998,6.58
473,griffith,US,1629351301.0,41.5284,-87.4237,40.0,93.0,77.19800000000005,0.0
474,mecca,SA,1629351303.0,21.4267,39.8261,3.0,47.0,89.79800000000004,2.37
475,hambantota,LK,1629351072.0,6.1241,81.1185,40.0,55.0,92.01199999999996,7.72
476,formoso do araguaia,,,,,,,,
477,nome,US,1629350983.0,64.5011,-165.4064,90.0,81.0,48.542,4.12
478,hailey,US,1629351187.0,43.5196,-114.3153,75.0,50.0,53.72599999999999,1.54
479,tyrma,RU,1629351304.0,50.0833,132.1667,76.0,38.0,83.96600000000002,1.34
480,myitkyina,MM,1629351305.0,25.3833,97.4,100.0,100.0,73.74199999999998,0.75
481,sorong,ID,1629350984.0,-0.8833,131.25,100.0,75.0,81.93200000000002,1.91
482,tairua,NZ,1629351305.0,-37.0167,175.85,15.0,68.0,55.364000000000026,4.36
483,joseni,RO,1629351306.0,46.7,25.5,9.0,78.0,56.011999999999965,0.85
484,anar darreh,,,,,,,,
485,lata,PT,1629351306.0,40.1629,-8.3327,12.0,90.0,58.08200000000002,0.71
486,taltal,CL,1629351307.0,-25.4,-70.4833,8.0,67.0,59.95399999999995,1.67
487,boca do acre,BR,1629351308.0,-8.7522,-67.3978,60.0,43.0,79.37599999999998,0.21
488,richards bay,ZA,1629351308.0,-28.783,32.0377,52.0,77.0,67.90999999999998,4.91
489,waingapu,ID,1629351020.0,-9.6567,120.2641,59.0,54.0,85.87400000000002,6.57
490,halalo,,,,,,,,
491,toliary,,,,,,,,
492,omboue,GA,1629351309.0,-1.5746,9.2618,100.0,91.0,73.16600000000003,3.53
493,kainantu,PG,1629351310.0,-6.2887,145.8655,86.0,63.0,72.08599999999997,2.45
494,san andres,CO,1629351311.0,12.5847,-81.7006,20.0,83.0,82.68800000000005,2.06
495,gemena,CD,1629351060.0,3.25,19.7667,97.0,95.0,69.11600000000001,0.35
496,angoche,MZ,1629351294.0,-16.2325,39.9086,5.0,71.0,75.2,2.66
497,kumluca,TR,1629351312.0,36.3703,30.2869,0.0,38.0,88.91600000000003,1.18
498,karaul,,,,,,,,
499,rorvik,NO,1629351313.0,64.8621,11.2373,75.0,100.0,52.17799999999997,6.17
500,gamba,GA,1629350931.0,-2.65,10.0,100.0,88.0,74.04800000000003,2.73
501,kachug,RU,1629351313.0,53.9606,105.8817,60.0,48.0,66.70399999999995,3.56
502,uvalde,US,1629351314.0,29.3669,-99.76700000000001,40.0,82.0,84.39800000000002,4.63
503,logan lake,CA,1629351314.0,50.4998,-120.8025,98.0,55.0,68.108,1.79
504,lakatoro,VU,1629351315.0,-16.0999,167.4164,31.0,82.0,78.90800000000002,4.35
505,murgab,TM,1629351315.0,37.4966,61.9714,0.0,32.0,84.34399999999997,3.09
506,pakxan,LA,1629351316.0,18.3778,103.6601,88.0,59.0,90.95,2.47
507,khonuu,,,,,,,,
508,labrea,BR,1629351316.0,-7.2586,-64.7981,62.0,53.0,76.49600000000005,1.04
509,joetsu,JP,1629351317.0,37.1483,138.2364,94.0,81.0,92.67799999999997,2.49
510,resistencia,AR,1629351317.0,-27.4606,-58.9839,0.0,38.0,80.33000000000004,5.14
511,abalak,RU,1629351318.0,58.1286,68.5944,99.0,56.0,67.98200000000003,2.33
512,cherskiy,RU,1629350968.0,68.75,161.3,7.0,32.0,65.69600000000004,5.21
513,bustamante,MX,1629351318.0,26.5333,-100.5,44.0,67.0,82.92200000000005,4.44
514,syracuse,IT,1629351319.0,37.0881,15.2792,0.0,66.0,81.59000000000003,4.75
515,penzance,GB,1629351319.0,50.1186,-5.5371,99.0,96.0,62.07799999999996,4.49
516,iztapa,GT,1629351320.0,13.9333,-90.7075,90.0,91.0,76.83800000000005,2.62
517,skjervoy,NO,1629351320.0,70.0311,20.9714,100.0,85.0,52.25,5.88
518,palmer,US,1629351321.0,42.1584,-72.3287,90.0,78.0,74.35399999999996,0.0
519,cockburn harbour,,,,,,,,
520,bubaque,GW,1629351107.0,11.2833,-15.8333,100.0,88.0,78.00800000000002,10.51
521,suksun,RU,1629351322.0,57.1431,57.3949,73.0,41.0,82.70600000000003,4.32
522,prabumulih,ID,1629351322.0,-3.45,104.25,95.0,51.0,88.32200000000003,1.19
523,kamaishi,JP,1629351323.0,39.2667,141.8833,75.0,72.0,90.824,0.5
524,kita,ML,1629351323.0,13.0349,-9.4895,97.0,96.0,70.77200000000005,1.5
525,ada,US,1629351324.0,43.4166,-116.1262,1.0,53.0,63.482000000000006,4.63
526,marsa matruh,EG,1629351324.0,31.3525,27.2453,0.0,83.0,79.26799999999999,3.6
527,andros,GR,1629351121.0,37.8333,24.9333,0.0,50.0,84.99199999999998,3.58
528,malkangiri,IN,1629351325.0,18.35,81.9,98.0,70.0,86.35999999999999,3.37
529,agadir,MA,1629351325.0,30.4202,-9.5982,1.0,76.0,68.71999999999997,1.9
530,osypenko,UA,1629351326.0,46.9136,36.8253,4.0,45.0,82.05799999999999,2.29
531,shubarkuduk,KZ,1629351326.0,49.1447,56.4872,6.0,16.0,94.98200000000004,3.67
532,saint anthony,US,1629351033.0,45.0205,-93.21799999999999,1.0,75.0,77.32400000000001,0.89
533,mana,GF,1629351327.0,5.6592,-53.7767,28.0,89.0,76.24399999999997,3.05
534,antalaha,MG,1629351327.0,-14.9003,50.2788,100.0,93.0,70.68200000000002,2.31
535,port hueneme,US,1629351328.0,34.1478,-119.1951,90.0,83.0,71.6,0.0
536,darnah,LY,1629351328.0,32.766999999999996,22.6367,0.0,79.0,80.16799999999998,9.38
537,boguchany,RU,1629351329.0,58.3814,97.4531,88.0,40.0,74.19200000000002,3.02
538,narasannapeta,IN,1629351329.0,18.4167,84.05,85.0,65.0,88.77200000000003,6.02
539,oytal,KZ,1629351330.0,42.9057,73.2697,0.0,27.0,82.49000000000002,3.42
540,kataysk,RU,1629351330.0,56.288999999999994,62.5841,89.0,43.0,80.834,2.23
541,rungata,,,,,,,,
542,okha,RU,1629351331.0,53.5739,142.9478,45.0,59.0,76.67599999999999,2.84
543,yavatmal,IN,1629351331.0,20.4,78.1333,100.0,89.0,74.858,3.35
544,shelburne,CA,1629351177.0,44.0787,-80.2041,100.0,73.0,70.03399999999999,1.9
545,puquio,PE,1629351332.0,-14.7,-74.1333,88.0,65.0,50.77400000000002,2.5
546,bhanpuri,IN,1629351333.0,21.1,80.9167,99.0,68.0,85.94600000000004,2.76
547,birin,NP,1629351333.0,26.8865,88.0718,100.0,91.0,65.31799999999998,1.55
548,okhotsk,RU,1629351334.0,59.3833,143.3,90.0,85.0,63.33800000000005,4.22
549,sobolevo,RU,1629351334.0,54.4299,31.8996,92.0,66.0,61.592,3.16
550,anupgarh,IN,1629351335.0,29.1911,73.2086,58.0,24.0,102.90199999999996,4.84
551,veraval,IN,1629351335.0,20.9,70.3667,100.0,78.0,81.80600000000005,4.98
552,walvis bay,,1629351335.0,-22.9575,14.5053,0.0,87.0,48.36199999999995,3.09
553,altay,CN,1629351336.0,47.8667,88.1167,87.0,65.0,68.0,1.89
554,khurba,RU,1629351336.0,50.4072,136.8819,4.0,39.0,84.72200000000005,5.02
555,vestmannaeyjar,IS,1629350877.0,63.4427,-20.2734,100.0,87.0,53.996000000000045,5.0
556,turtas,RU,1629351337.0,58.9417,69.1325,93.0,49.0,71.67200000000005,3.25
557,ghanzi,BW,1629351338.0,-21.5667,21.7833,0.0,20.0,53.78000000000005,3.43
558,loveland,US,1629351283.0,40.3978,-105.075,1.0,47.0,80.18599999999998,3.58
559,popondetta,PG,1629351338.0,-8.7537,148.2534,40.0,63.0,84.83000000000004,2.52
560,napanee,CA,1629351215.0,44.2501,-76.9494,100.0,95.0,71.708,3.77
561,price,US,1629351339.0,39.5994,-110.8107,90.0,94.0,56.732000000000006,2.06
562,krasnyy chikoy,RU,1629351339.0,50.3643,108.7512,86.0,56.0,64.958,6.19
563,mindelo,CV,1629351340.0,16.8901,-24.9804,40.0,74.0,80.41999999999996,4.63
564,itarema,BR,1629351062.0,-2.9248,-39.9167,26.0,79.0,77.48599999999995,7.96
565,porto empedocle,IT,1629351340.0,37.2934,13.5264,0.0,65.0,74.984,1.31
566,chernyshevskiy,RU,1629351341.0,63.0128,112.4714,96.0,60.0,65.15600000000003,2.03
567,bo,,,,,,,,
568,mumford,GH,1629351067.0,5.2618,-0.759,87.0,81.0,72.35600000000002,3.28
569,bejar,ES,1629351342.0,40.3864,-5.7634,5.0,37.0,46.814000000000036,1.67
570,gravdal,NO,1629351342.0,68.1214,13.5031,75.0,100.0,53.761999999999965,4.12
571,miri,MY,1629351343.0,4.4148,114.0089,40.0,89.0,81.01400000000005,3.09
572,sayat,TM,1629351343.0,38.7839,63.8803,63.0,14.0,86.14399999999998,7.56
573,formosa,AR,1629351344.0,-26.1775,-58.1781,0.0,30.0,78.18800000000005,4.04
574,burns lake,CA,1629351344.0,54.2331,-125.7533,98.0,85.0,51.49399999999997,1.38
575,sagua la grande,CU,1629351344.0,22.8067,-80.0756,100.0,84.0,80.05999999999997,4.71
576,merrill,US,1629351345.0,45.1805,-89.6835,1.0,97.0,64.61600000000001,0.0
577,broken hill,AU,1629350858.0,-31.95,141.4333,1.0,19.0,67.98200000000003,3.6
578,kegayli,,,,,,,,
579,punta cardon,VE,1629351346.0,11.6581,-70.215,50.0,83.0,80.47400000000002,10.06
580,fortuna,US,1629350868.0,40.5982,-124.1573,90.0,71.0,61.682000000000016,0.0
581,rawson,AR,1629350992.0,-43.3002,-65.1023,97.0,40.0,51.20600000000003,5.21
582,fuerte olimpo,PY,1629351347.0,-21.0415,-57.8738,0.0,30.0,74.15600000000003,2.52
583,atar,MR,1629351347.0,20.5169,-13.0499,76.0,41.0,87.16999999999996,1.17
584,narsaq,GL,1629351066.0,60.9167,-46.05,100.0,95.0,46.885999999999974,1.78
585,talaya,RU,1629351348.0,61.3833,152.75,100.0,59.0,65.65999999999998,5.69
586,yenagoa,NG,1629351348.0,4.9247,6.2642,100.0,94.0,73.45399999999995,1.33
587,dawei,MM,1629351349.0,14.0833,98.2,9.0,62.0,87.63800000000003,3.36
588,atambua,ID,1629351109.0,-9.1061,124.8925,8.0,51.0,83.96600000000002,1.19
589,dalvik,IS,1629351079.0,65.9702,-18.5286,100.0,86.0,50.19800000000002,0.86
590,manaus,BR,1629351161.0,-3.1019,-60.025,0.0,83.0,81.35600000000002,0.0
591,vostok,RU,1629351350.0,46.4856,135.8833,0.0,36.0,80.816,2.81
592,luang prabang,LA,1629351350.0,19.8856,102.1347,75.0,70.0,88.03399999999998,3.09
593,chontalpa,MX,1629351351.0,17.7,-93.5167,46.0,87.0,76.78399999999998,0.92
594,kudahuvadhoo,MV,1629351352.0,2.6708,72.8944,99.0,71.0,82.56199999999995,3.36
595,bur gabo,,,,,,,,
596,allanridge,ZA,1629351353.0,-27.7543,26.6438,0.0,43.0,48.55999999999998,2.1
597,svetlaya,RU,1629351068.0,46.5389,138.3297,18.0,74.0,70.03399999999999,5.36
598,luwuk,ID,1629351353.0,-0.9516,122.7875,52.0,85.0,81.46400000000003,3.63
599,lukulu,ZM,1629351354.0,-14.3707,23.241999999999997,0.0,29.0,65.984,2.16
600,kabansk,RU,1629351354.0,52.0486,106.6528,64.0,53.0,68.75600000000003,5.2
601,chara,RU,1629351355.0,56.9064,118.2631,100.0,95.0,56.65999999999998,1.39
602,kavaratti,IN,1629351355.0,10.5669,72.642,100.0,78.0,81.89600000000004,7.24
603,kulu,TR,1629351356.0,39.0951,33.0799,0.0,35.0,76.1,4.04
604,diego de almagro,CL,1629351356.0,-26.3667,-70.05,1.0,44.0,54.608,0.86
605,bardiyah,LY,1629351357.0,31.7561,25.0865,39.0,78.0,80.90600000000003,7.5
606,klaksvik,FO,1629350901.0,62.2266,-6.5889999999999995,85.0,77.0,49.38800000000005,7.08
607,kirensk,RU,1629351357.0,57.7853,108.1119,98.0,66.0,62.25800000000001,2.57
608,chirongui,YT,1629351358.0,-12.9319,45.1483,58.0,74.0,78.99800000000002,7.96
609,diffa,NE,1629351358.0,13.3154,12.6113,98.0,73.0,77.59399999999997,5.97
610,tomatlan,MX,1629351006.0,19.9333,-105.25,100.0,94.0,75.14600000000004,1.94
611,acarau,BR,1629351359.0,-2.8856,-40.12,17.0,81.0,77.39600000000004,8.49
612,nenjiang,CN,1629351360.0,49.1833,125.2167,97.0,89.0,73.09399999999997,6.72
613,porbandar,IN,1629351360.0,21.6422,69.6093,98.0,68.0,83.62400000000002,5.19
614,kudat,MY,1629351361.0,6.8837,116.8477,40.0,62.0,89.79800000000004,2.57
615,san rafael del sur,NI,1629351361.0,11.8485,-86.4384,99.0,87.0,77.108,2.05
616,bullhead city,US,1629351127.0,35.1478,-114.5683,75.0,31.0,95.55799999999999,8.23
617,vila franca do campo,PT,1629350865.0,37.7167,-25.4333,65.0,88.0,74.084,3.0
618,chake chake,TZ,1629351362.0,-5.2459,39.7666,48.0,70.0,78.20600000000003,4.29
619,acari,PE,1629351362.0,-15.4311,-74.6158,76.0,71.0,63.5,1.43
620,cotacachi,EC,1629351363.0,0.3,-78.2667,60.0,89.0,55.21999999999996,1.4
621,khani,GE,1629351363.0,41.9563,42.9566,28.0,43.0,67.83800000000005,1.48
622,deseronto,CA,1629351364.0,44.2001,-77.0494,100.0,94.0,71.6,4.16
623,moree,AU,1629351110.0,-29.4667,149.85,40.0,46.0,70.08800000000005,4.12
624,ganzhou,CN,1629351364.0,28.8184,115.4327,76.0,73.0,88.05199999999998,1.44
625,seka,TH,1629351365.0,17.9285,103.9552,79.0,55.0,91.92200000000004,2.03
626,port keats,AU,1629351035.0,-14.25,129.55,0.0,53.0,84.10999999999999,5.29
627,genhe,CN,1629351365.0,50.7833,121.5167,100.0,98.0,61.484,1.76
628,saquena,PE,1629351366.0,-4.6667,-73.5167,38.0,96.0,72.51799999999999,1.15
